GEO_ID,State,County,PCT_LACCESS_POP15,PCT_LACCESS_LOWI15,PCT_LACCESS_HHNV15,PCT_LACCESS_SNAP15,PCT_LACCESS_CHILD15,PCT_LACCESS_SENIORS15,PCT_LACCESS_WHITE15,PCT_LACCESS_BLACK15,PCT_LACCESS_HISP15,PCT_LACCESS_NHASIAN15,PCT_LACCESS_NHNA15,PCT_LACCESS_NHPI15,PCT_LACCESS_MULTIR15,FOODINSEC_13_15,VLFOODSEC_13_15,PCT_DIABETES_ADULTS13,PCT_OBESE_ADULTS13,POVRATE15,CHILDPOVRATE15
0500000US41001,OR,Baker,44.96,19.06,2.38,7.38,8.19,10.69,42.39,0.26,1.18,0.18,0.61,0.05,1.47,16.1,6.6,12,26.9,15.3,27
0500000US41003,OR,Benton,26.05,7.08,1.15,2.95,6.11,3.49,23.47,0.15,1.39,0.84,0.21,0.04,1.34,16.1,6.6,7.8,21.6,18.3,15
0500000US41005,OR,Clackamas,13.95,2.97,0.98,1.51,3.48,1.82,12.42,0.10,0.70,0.66,0.09,0.03,0.65,16.1,6.6,9.8,25.3,9.4,12.3
0500000US41007,OR,Clatsop,17.28,6.09,2.60,2.77,3.80,2.51,15.53,0.17,1.51,0.19,0.22,0.06,1.12,16.1,6.6,11,30.7,13.9,21.5
0500000US41009,OR,Columbia,14.68,3.86,1.88,2.45,3.27,2.25,13.75,0.05,0.47,0.13,0.16,0.02,0.58,16.1,6.6,10.6,33.8,13.4,16.6
0500000US41011,OR,Coos,11.30,5.01,1.98,2.73,2.08,2.65,10.19,0.02,0.51,0.11,0.28,0.02,0.68,16.1,6.6,12.8,30.4,18.7,29.8
0500000US41013,OR,Crook,16.87,8.04,1.60,3.95,3.86,3.31,14.99,0.03,1.79,0.07,0.27,0.02,1.49,16.1,6.6,12.5,25.7,15.9,25.6
0500000US41015,OR,Curry,12.28,5.09,2.09,2.19,1.69,3.97,11.36,0.08,0.44,0.06,0.28,0.01,0.49,16.1,6.6,11.9,29.9,17.2,27
0500000US41017,OR,Deschutes,15.60,5.25,1.17,2.50,3.80,2.12,14.62,0.06,1.00,0.13,0.11,0.01,0.67,16.1,6.6,7.8,24.1,13.4,18.2
0500000US41019,OR,Douglas,25.31,11.05,2.64,6.19,5.40,4.62,23.36,0.09,1.24,0.22,0.49,0.04,1.11,16.1,6.6,11.4,31,19.5,30.7
0500000US41021,OR,Gilliam,54.63,16.54,1.38,6.64,11.65,8.97,51.30,0.11,3.35,0.08,0.64,0.69,1.80,16.1,6.6,11.6,27.2,12.9,17.9
